T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,8,1.5563114626111789
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,9,1.5347946325630397
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,10,1.5256658590634862
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,11,1.5021744356100495
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,12,1.5197684439270511
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,13,1.499568907697336
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,14,1.4997453553965523
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,15,1.5082796820229329
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,16,1.4828103514062037
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,17,1.4850184936603787
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,18,1.4995496980420173
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,19,1.4893314681815604
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,20,1.4893314681815604
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,21,1.4893314681815604
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",3,1,4,22,1.4893314681815604
